param_magic_period,param_magic_count,param_rsi_period,param_rsi_overbought,param_rsi_oversold,param_atr_period,param_atr_multiplier,param_trailing_pct,param_profit_target_pct,param_stop_loss_pct,metric_胜率,metric_总收益率,metric_夏普比率,metric_最大回撤,score
3,5,14,70,25,14,2.0,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.0,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.0,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.0,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.5,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.5,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.5,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,25,14,2.5,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.5,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.5,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.5,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.5,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.0,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.0,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.0,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.0,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.0,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.0,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.0,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.0,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.5,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.5,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.5,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,30,14,2.5,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.5,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.5,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.5,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.5,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.0,1.5,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.0,1.5,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.0,1.0,2.0,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,75,25,14,2.0,1.0,1.5,0.8,0.6136363636363636,0.044647199999999554,0,0.06993499277316509,0.49381847855818134
3,5,14,70,30,14,2.5,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.5,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.5,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.5,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.0,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.0,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.0,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,30,14,2.0,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.0,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.0,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.0,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.0,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.5,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.5,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.5,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,70,25,14,2.5,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.5,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.5,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.5,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.5,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.0,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.0,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.0,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,25,14,2.0,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.0,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.0,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.0,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.0,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.5,1.0,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.5,1.0,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.5,1.5,1.5,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
3,5,14,75,30,14,2.5,1.5,2.0,1.0,0.6136363636363636,0.039914000000001115,0,0.07367861901708248,0.493128569267123
